Database_ID,Title,Authors,Year,Journal,Country_Source,DOI,URL,Keywords,Volume,Issue,Database
112786,Pozzolanic characteristics of municipal solid waste ash,IF Sanewu; JW Kaluli; NK Maritim; K Shepherd,2015,"Journal of Agriculture, Science and Technology",Kenya,,https://www.ajol.info/index.php/jagst/article/view/112786,bonding effect; municipal solid waste ash (MSWA); pozzolana,15.0,1,AJOL
114259,Evaluation of Sustainable Concrete Production and Construction Cost Implication in Nigeria,PO Awoyera; OM Olofinnade,2015,AFRREV STECH: An International Journal of Science and Technology,Ethiopia,10.4314/stech.v4i1.10,https://www.ajol.info/index.php/stech/article/view/114259,affordable housing; bamboo fibre; concrete; steel fibre; sustainability,4.0,1,AJOL
122329,Influence of Molding Water Content on Shear Strength Characteristic of Compacted Cement Kiln Dust Treated Lateritic Soils for Liners and Covers,KJ Osinubi; G Moses; FOP Oriola; AS Liman,2015,Nigerian Journal of Technology,Nigeria,10.4314/njt.v34i2.8,https://www.ajol.info/index.php/njt/article/view/122329,Cement kiln dust; Compaction; Molding water content; Unconfined compressive strength,34.0,2,AJOL
116188,Sustainability impacts of building products: An assessment methodology for developing countries,J Gibberd,2015,Acta Structilia,South Africa,,https://www.ajol.info/index.php/actas/article/view/116188,sustainability; building materials; methodology; sustainable building material index (SBMI),21.0,2,AJOL
116408,"Geotechnical, mechanical and geological characterization of lateritic gravels of Boumpial (Cameroon) used in road construction",V L Onana; A Nzabakurikiza; E E Ndome; B Likiby; V K Kamgang; G E Ekodeck,2015,Journal of the Cameroon Academy of Sciences,Cameroon,,https://www.ajol.info/index.php/jcas/article/view/116408,Lateritic gravels; Geotechnical and mechanical tests; Mineralogical and chemical analyses; Road construction; Cameroon,12.0,1,AJOL
116970,Stabilization of Ikpayongo laterite with cement and calcium carbide waste,M Joel; EJ Edeh,2015,Global Journal of Pure and Applied Sciences,Nigeria,10.4314/gjpas.v20i1.8,https://www.ajol.info/index.php/gjpas/article/view/116970,Cement; Calcium carbide waste; Stabilization; Ikpayongo laterite; Pavement material,20.0,1,AJOL
116973,Effects of rice husk ash and termite hill types on the physical and mechanical properties of burnt termite clay bricks for rural housing,TU Nwakonobi; CP Anyanwu; LR Tyav,2015,Global Journal of Pure and Applied Sciences,Nigeria,10.4314/gjpas.v20i1.9,https://www.ajol.info/index.php/gjpas/article/view/116973,Clay bricks; termite hill; rice husk ash; stabilization; strength; building construction,20.0,1,AJOL
117684,"Evaluation of some engineering properties of lateritic soils around Dall quarry, Sango area, Ilorin, Nigeria",OA Omotoso; OJ Ojo; ET Adetolaju,2015,Nigerian Journal of Technological Development,Nigeria,,https://www.ajol.info/index.php/njtd/article/view/117684,Engineering properties; Grain size; Liquid limit; Plastic limit; CBR,9.0,1,AJOL
119546,"Effect of nodal positions, seasonal variations, shoot clump and growth regulators on micropropagation of commercially important bamboo, Bambusa nutans Wall. ex. Munro",KD Mudoi; SP Saikia; M Borthakur,2015,African Journal of Biotechnology,Kenya,10.5897/AJB2014.13659,https://www.ajol.info/index.php/ajb/article/view/119546,,13.0,19,AJOL
120131,Influence of Addition of Rice Husk Ash on Porcelain Composition,UJ Hassan; MN Maharaz,2015,Science World Journal,Nigeria,,https://www.ajol.info/index.php/swj/article/view/120131,RHA; Porcelain; Compressive Strength; Bulk Density; Porosity,10.0,1,AJOL
