DOAJ_ID,Title,Authors,Year,Journal,Country_Journal,DOI,URL,Abstract,Keywords,Database
0290d1d5f66349b689c0974f28694ae4,Trends and opportunities of using local sustainable building materials in the Middle East and North Africa region,Mohammed Sonebi; Ahmed Abdalqader; Sofiane Amziane; Leonid Dvorkin; Elhem Ghorbel; Said Kenai; Jamal  Khatib; Natalia Lushnikova; Arnaud Perrot,2022,RILEM Technical Letters,FR,10.21809/rilemtechlett.2022.169,http://letters.rilem.net/index.php/rilem/article/view/169,"
In recent decades, most of construction activities have been taking place in developing countries such as the Middle East and North Africa region. The expansion in infrastructure has great impact in the technological, social, economic and environmental transformation of this region. Construction sector contribution to Gross Domestic Product (GDP) varies throughout the region and ranges between 2-10%. Currently, sustainable construction requires integrated and comprehensive sustainable design including careful choice of materials and methods. Materials that are locally available and require less energy to produce and transport would pave the way to more sustainable practices. Many countries in the region have realised the benefits of using local building materials on the economy, society and environment. This paper outlines the key trends and opportunities of using sustainable and affordable local building materials in the region to respond to the global climate change crisis and to promote more sustainable and environmentally friendly practices. The current practice of using various building materials such as bio-based materials, treated municipal solid waste incineration bottom ash (MSWI-BA), construction and demolition waste, gypsum-containing by-products (phosphorgypsum, FGD gypsum, borogypsum and others) and rammed earth will be reviewed. It is concluded that the use of these local building materials in construction activities would foster the development of the society. However, some of these materials are already developed and reached the implementation stage while most of them are still at R&D stage. Therefore, there is an urgent need for a comprehensive local and regional strategies to enhance the utilization of these materials.
",Bio-based Construction; Gypsum; Construction and Demolition Waste; 3D Earth Printing; Rammed Earth; Solid Waste Incineration Ash ,DOAJ
078bbb7c13a740b7b5762fcfc8d2d26f,"دراسة تحليلية لنظام تصنيف الهرم الأخضر المصرى وفقا لعناصر الاستدامة البيئية والاقتصادية والاجتماعية الثقافية ANALYTICAL STUDY OF THE EGYPTIAN GREEN PYRAMID CLASSIFICATION SYSTEM ACCORDING TO THE ELEMENTS OF ENVIRONMENTAL, ECONOMIC AND SOCIAL CULTURAL SUSTAINABILITY",,2019,Assiut University Bulletin for Environmental Researches,EG,10.21608/auber.2019.99886,https://auber.journals.ekb.eg/article_99886_97f2ea62826f5fc0341a2caa1ec8ef14.pdf,"ملخص البحث:  تمثل استراتيجية التنمية المستد​​امة رؤية مصر 2030 محطة أساسية في مسيرة التنمية الشاملة في مصر تربط الحاضر بالمستقبل، وقد تبنت الاستراتيجية مفهوم التنمية المستدامة کإطارعام يقصد به تحسين جودة الحياة في الوقت الحاضر بما لا يخل بحقوق الأجيال القادمة في حياة أفضل، ومن ثم يرتکز مفهوم التنمية الذي تتبناه الاستراتيجية على ثلاثة أبعاد رئيسية تشمل البعد الاقتصادي والبعد الاجتماعي والبعد البيئي(1). ونتيجة لذلک وعلى مدى العقدين الماضيين، عملت الحکومة المصرية بشکل غير مسبوق لتحسين کفاءة الطاقة ومعالجة انبعاثات غازات الدفيئة، وکان الدافع وراء هذا الجهد هو إدراک أن الزخم السکاني سيضع طلبات هائلة في نهاية المطاف على جميع قطاعات الدولة المصرية، وأن هذه المطالب من شأنها أن تحد بشکل کبير من النمو طويل الأجل للاقتصاد المصري، في ذلک الوقت، وقد أظهرت الدراسات التفصيلية العلاقة الوثيقة بين النمو السکاني والطاقة ، ولهذا السبب، بحث أصحاب المصلحة والمسئولون الحکوميون المصريون عن طرق للحد من استهلاک الطاقة وانبعاثات غازات الاحتباس الحراري، وبهذا المعنى کان تطوير قوانين بناء کفاءة الطاقة خطوة أولى حاسمة في تلک العملية، وکان تحديد المسارات البديلة نحو کفاءة الطاقة هو الخطوة الثانية(2). وفي يناير 2009 اتخذت خطوة کبيرة نحو الحد من استهلاک الطاقة من خلال إنشاء المجلس المصري للعمارة الخضراء Egyptian Green Building Council (EGBC), سعى المجلس إلى تحقيق عدة أهداف، أهمها تشجيع المستثمرين على اعتماد کود تحسين کفاءة استخدام الطاقة في المباني Building Energy Efficiency Certificates   BEECs، بالإضافة إلى بنود أخرى من الکودات التي تم إقرارها والمتعلقة بکفاءة استخدام الطاقة والمحافظة على البيئة، وفى ضوء ذلک أصبح البناء الأخضر الهدف المنشود لجميع مشاريع البناء الجديدة وستکون کودات کفاءة استخدام الطاقة فى المبانى هى المواد والأدوات وخارطة الطريق لتحقيق الهدف المنشود، وهو: تحسين حياة الشعب المصري والمساهمة في الحرکة العالمية نحو بيئة أکثر نظافة وتوفير الطاقة المتجددة من خلال تطبيق نهج البناء الأخضر(2)، وقد کانت الموافقة على وضع نظام تصنيف وطنى لتصنيف البناء الأخضر تحت مسمى "" الهرم الأخضر green pyramid rating system (GPRS) "" إجراء فورى لتفعيل دور هذا المجلس (3). لذلک تهدف الدراسة إلى  التحقق من مدى تحقيق نظام الهرم الأخضر المصرى لعناصر الاستدامة الأساسية البيئية والاقتصادية والاجتماعية الثقافية، والتى لا يمکن للاستدامة الحقيقية أن تتحقق إلا من خلال تحقيق التوازن بين هذه العناصر، حيث أن التقييم الجيد للاستدامة هو الذى يلبى العناصر الرئيسية للاستدامة سواء کانت (بيئية – اقتصادية – اجتماعية ثقافية)، أى يجب عدم تحقيق أى عنصر من العناصر على حساب الآخر، وذلک بهدف تطويره للوصول إلى أداة متعددة المعايير لتقييم استدامة المبانى بصفة عامة، والمبانى السکنية بصفة خاصة. ABSTRACT: The sustainable development strategy representing Egypt's vision 2030 is a critical milestone in the comprehensive development process in Egypt linking the present to the future. The strategy has adopted the concept of sustainable development as a framework intended to improve the quality of life at the present time without detriment to the rights of future generations for a better life. The concept of development adopted by this strategy is based on three main dimensions, including the economic, social, and environmental dimensions. As a result, in January 2009, a major step was taken towards reducing energy consumption through the establishment of the Egyptian Green Building Council (EGBC). The Council sought to achieve several goals, the most important of which was to encourage investors to adopt a code to improve energy efficiency in buildings ‘Building Energy Efficiency Certificates’ (BEECs), in addition to other items of approved codes related to energy efficiency and environmental conservation. In that light, green construction has become the desired goal for all new construction projects. Energy efficiency codes in buildings will be materials, tools and a roadmap to achieve the desired goal, which is: improving the life of the Egyptian people, contributing to the global movement towards a cleaner environment, and the provision of renewable energy through the application of the green building approach. The approval to establish a national classification system to classify the green building under the name ""Green Pyramid Rating System (GPRS)"" was an immediate action to activate the role of this council Accordingly, this study aims to verify the extent to which the Egyptian Green Pyramid System achieved the basic environmental, economic, and social cultural sustainability elements. Real sustainability can only be achieved through achieving a balance between these elements, as good assessment of sustainability addresses the requirements of the main elements of sustainability, whether they are (environmental, economic, or socio-cultural). None of these elements should be achieved at the expense of the other, with the aim of developing it to reach a multi-criteria tool for assessing the sustainability of buildings in general and residential buildings in particular.",الاستدامة; عناصر الاستدامة - نظام الهرم الأخضر المصرى. Sustainability - Elements of Sustainability - The Egyptian Green Pyramid System,DOAJ
1124f0d9e6c9445bb36cdf6644c90071,Fracture and Toughening of Mycelium-based Biocomposites,Precious O. Etinosa; Ali A. Salifu; Sarah Osafo; Stanley C. Eluu; John D. Obayemi; Winston O. Soboyejo,2024,Materials & Design,GB,10.1016/j.matdes.2023.112592,http://www.sciencedirect.com/science/article/pii/S0264127523010080,"This study presents a combined experimental and analytical study of the fracture behavior and toughening mechanisms of bioprocessed mycelium-based biocomposites. The composites comprise hemicellulose hemp ducts (as nutritional and reinforcing components) intertwined with increasing weight percentages of laterite particles. Single-edge notched fracture experiments and in-situ observations of crack growth were used to explore the effects of varying proportions of laterite on the composite resistance-curve behavior. The toughening mechanisms, fracture modes, and crack-microstructure interactions were also elucidated. Since crack-bridging and crack-deflection were observed to be the dominant toughening mechanisms, they were modeled using fracture mechanics approaches. Crack-bridging was shown to dominate the toughening at lower weight fractions of laterite (0–20 wt%). However, as the laterite content increases (20–40 wt%), a combination of crack-bridging and crack-deflection was observed. Finally, at higher laterite weight fractions (>40 wt%), crack-tip shielding occurred primarily via crack deflection. The fracture mechanics predictions of resistance-curve behavior are shown to be consistent with the experimental measurements. The results suggest that mycelium-based and mycelium-laterite composites can be engineered with tunable fracture toughness. The implications of the results are also discussed for the development of sustainable building materials.",Crack-microstructure interactions; Fracture mechanics; Fracture modes; Mycelium-based biocomposites; Resistance-curve behavior; Toughening mechanisms,DOAJ
1b5beeb4253c437894b80c3e2fc67103,A BIM-Based Tool for Assessing Sustainability in Buildings Using the Green Pyramid Rating System,Mohamed Marzouk; Reham Thabet,2023,Buildings,CH,10.3390/buildings13051274,https://www.mdpi.com/2075-5309/13/5/1274,"Green construction management is an approach that aims to promote sustainable solutions in building design and construction. However, the complexity and variability in design scenarios often pose challenges to implementing these practices effectively. This study proposes a collaborative framework for green construction management that leverages automated and semi-automated simulations to facilitate performance-based decision making. The framework utilizes the green pyramid rating system (GPRS) as a third-party certification assessment provider. It employs various BIM analysis software tools, including Dynamo codes in Autodesk Revit and add-in plug-ins using Revit API, to extract information and parameters from the BIM model. The data are used to perform quantitative calculations and comprehensive analysis that aid decision makers in investigating, analyzing, improving, and assessing sustainability aspects throughout the project. The proposed framework enables a structured approach to green construction management that incorporates the building variable consecutive level of details/development (LOD) and life cycle phases. A case study of an office building in the new administrative capital in Egypt demonstrates the effectiveness of the framework in promoting sustainable solutions. The collaborative framework for interoperability design decisions proposed in this study provides a valuable tool for implementing green construction management practices. The use of automated and semi-automated simulations, following the GPRS, helps to ensure that sustainable solutions are advocated, interrogated, and refined throughout the project. The framework’s structured approach enables decision makers to investigate, analyze, improve, and assess sustainability aspects effectively.",sustainability; construction projects assessment; design phase; building information modeling; green pyramids rating system,DOAJ
2368dc842046494c8e454092dfad7b71,A comprehensive review on coal fly ash and its application in the construction industry,S. E. Kelechi; Musa Adamu; O. A. U. Uche; I. P. Okokpujie; Yasser E. Ibrahim; I. I. Obianyo,2022,Cogent Engineering,GB,10.1080/23311916.2022.2114201,https://www.tandfonline.com/doi/10.1080/23311916.2022.2114201,"Coal fly ash (CFA) is a coal ignition buildup at thermal power plants, which has been viewed as a hazardous waste globally. The major problems with CFA are the large volume of land needed for its disposal and poisonous weighty metal sifted to groundwater. CFA has been considered a waste and water pollutant until recently; however, CFA is a helpful material and has shown its useful value, especially in the construction industry. This review paper aims to evaluate CFA properties and validate its utilization in the construction industry to save the planet from damages associated with its disposal. The current paper surveys the potential uses of CFA as a crude material in the construction industry in catalysis, soil stabilization and replacement, brick production, cement replacement highway embankment, bricks construction, material for soil replacement and stabilization, and dams, asphalt pavement, and road construction. This review was conducted through systematic consultation of mostly recent relevant literature with a few old publications to evaluate the efficiency of CFA utilization in the construction industry. Moreover, all the literature rated CFA as a suitable material for use in the construction industry. A major drawback of CFA usage in concrete is the slow early strength development. However, this can be taken care of by accelerating the admixtures in the concrete mix. Future research tends towards production of CFA with more improved features suitable for advanced construction technology as in 3D printing construction. Conclusively, CFA is recommended for use in the construction industry based on its performance success recorded from the research findings reviewed in this paper.",coal fly ash; construction industry; waste utilization; supplementary green construction materials,DOAJ
23e8ce35c1424f9cb5399ff94a6116ab,"Scaling Up Green Building Practices in Tanzania: Integrating Materials, Energy Efficient Technologies, and Policy Pathways",Andrew Ikingura; Anna M. Grabiec; Bartosz Radomski; Artur Bugała,2025,Energies,CH,10.3390/en18236205,https://www.mdpi.com/1996-1073/18/23/6205,"This review explores the current state and future potential of green building technologies (GBTs) in Tanzania. Using a desk-based literature review and thematic synthesis, the study analyzes peer-reviewed articles, policy documents, and case studies to assess the application of material solutions, energy efficiency strategies, and water management practices in diverse country settings. The findings indicate that the most significant obstacles to the widespread adoption of green building technologies in Tanzania are the absence of mandatory regulatory frameworks, insufficient technical capacity, limited public awareness coupled with financial constraints, and weak institutional coordination. Technically, the most feasible pathway involves integrating locally sourced low-carbon materials and the adoption of climate responsive passive design strategies that are tailored to the country’s diverse climatic zones and socio-economic conditions. In order to address the identified setbacks, this paper proposes several strategic interventions including the formulation of context-specific green building standards, enhanced support mechanisms for local material innovation within the construction sector, targeted capacity-building programs, and the establishment of inclusive green financing schemes to support small-scale developers.",green buildings; smart building technologies; material solutions; energy efficiency; climate resilience; Tanzania,DOAJ
2555606a87934908b2c5f951e5c7beec,Hybrid fibre reinforcement of limestone calcined clay cement (LC3) mortar: An approach to optimised strength and fire resistance performance,Asmaa A. Selim; H. Shoukry; Mohamed S. Saif; Gamal E. Abdelaziz,2025,Next Materials,GB,10.1016/j.nxmate.2025.100925,http://www.sciencedirect.com/science/article/pii/S2949822825004435,"Green construction materials with enhanced fire resistance are a promising approach to improve fire safety and sustainability in the construction sector. Limestone Calcined Clay Cement (LC3) is a unique, innovative binder that incorporates calcined clay and limestone to replace clinker, reducing CO₂ emissions by up to 40 %. The LC3 has demonstrated mechanical and durability properties comparable to those of typical Portland Cement (OPC), thereby promoting sustainable infrastructure development. The fire resistance of LC3 composites is still a critical issue, especially when they are employed in constructions susceptible to high temperatures that could weaken them or cause them to explode. To address this issue, this study investigated the mechanical and fire-resistant performances of LC3-based mortars incorporating polypropylene (PP) fibre, basalt (BS) fibre, and their hybrid combinations (PP-BS). By replacing 60 wt% of OPC with a blend of metakaolin (MK) and limestone (LS) with MK:LS of 2:1, an eco-economic LC3 alternative binder has been prepared. PP and BS fibres have been added at various wt% percentages to LC3-based sand mortars. The compressive strength, flexural strength, and post-fire residual strength have been determined for LC3 mortars reinforced with PP, BS, and PP-BS fibres. After an hour of exposure to the ASTM E119 cellulosic fire curve, the LC3-plain mortar without fibre experienced complete failure, i.e., 0 % residual strength. However, the 0.3 % PP-reinforced LC3 mortar exhibited the best residual results, retaining 66.46 % and 18.78 % of its original compressive and flexural strength. Hybrid LC3 composites have also been prepared by adding BS fibres at different levels, ranging from 0.25 to 1.25 wt% to the 0.3 % PP-reinforced LC3 optimum mortar. While the BS-reinforced LC3 mortar experienced explosive failures under the rapid-fire exposure, the hybrid fibre-reinforced mortars demonstrated superior performance. The results suggest that hybrid fibre reinforcement offers a balanced solution, improving the overall mechanical properties and fire resistance compared to single-fibre and fibre-free systems.",Green binder; Polypropylene fibre; Basalt fibre; Fire resistance; Sustainability; Microstructure,DOAJ
25fb4a3f605e44c187cc3cc38f6c4c6c,Gene Expression Programming (GEP) Modelling of Sustainable Building Materials including Mineral Admixtures for Novel Solutions,Denise-Penelope N. Kontoni; Kennedy C. Onyelowe; Ahmed M. Ebid; Hashem Jahangir; Danial Rezazadeh Eidgahee; Atefeh Soleymani; Chidozie Ikpa,2022,Mining,CH,10.3390/mining2040034,https://www.mdpi.com/2673-6489/2/4/34,"In this study, the employment of the gene expression programming (GEP) technique in forecasting models on sustainable construction materials including mineral admixtures and civil engineering quantities (e.g., compressive strength), was investigated. Compared to the artificial neural networks (ANN) based formulations, which are often too complicated to be used, GEP-based derived models provide estimation equations that are reasonably simple and may be used for practical design purposes and even for hand calculations. Many popular models, such as best-fitted curves based on regression analyses, multi-linear regression (MLR), multinomial logistic regression (MNLR), and multinomial variate regression (MNVR), can also be used for construction materials properties modeling. However, due to the nonlinearity and complexity of the target properties, the models established using linear regression analyses may not reveal the precise behavior. Additionally, regression models lack generality, and this comes from the fact that some functions are defined for regression in classical regression techniques; while in the GEP approach, there is no predefined function to be considered, and it reproduces or omits various combinations of parameters to provide the formulation that fits the experimental outcomes. If the input parameters can be evaluated through simple laboratory or rapid measurements, and also a comprehensive experimental database is made available, the models can be constructed with optimal flexibility. Flexibility in choosing the complexity and fitness functions, such as RMSE, MAE, and MSE, might lead to better performance of the approach and well-capturing the governing pattern behind the material’s characteristics. There may be minor inaccuracies with this technique; however, the explicit mathematical expressions, which can be easily implemented in the design and analysis process, may cover the minor inaccuracies compared to ANN, support vector machine (SVM), and other intelligent approaches. Based on the presented study, sometimes it would be better to provide more than one GEP model and consider different combinations of input contributing variables to afford the possible initial feed for a more settled and comprehensive model. Mostly, GEP’s strengths as a superior machine learning technique in modeling the behavior of construction materials including mineral admixtures, leading to innovative solutions in civil engineering, have been presented.",gene expression programming (GEP); construction materials; mineral admixtures; concrete; soil; green admixtures,DOAJ
2bfdc54c9e3e43949375c434bfb6c2d2,Morphology and mineralogy of rice husk ash treated soil for green and sustainable landfill liner construction,Kennedy C. Onyelowe; Ifeyinwa I. Obianyo; Azikiwe P. Onwualu; Michael E. Onyia; Chima Moses,2021,Cleaner Materials,GB,10.1016/j.clema.2021.100007,http://www.sciencedirect.com/science/article/pii/S2772397621000071,"The morphology and mineralogy of the soil treated with rice husk ash (RHA) under different molding moisture conditions. Leachate condition in landfills built with compacted clay soil is damaging the underground water flow with the hazards released from disposed and decomposing waste materials. This makes landfills dangerous infrastructure. The leakage can be dealt with through the deployment of green materials developed from agricultural waste. One of such wastes is rice husk combusted to derive ash. The test soil used in this exercise has been classified as highly plastic and poorly graded. The treated soil was examined by scanning electron microscopy and x-ray diffractometer methods. From the test results, the presence of goethite alongside quartz and kaolinite were observed in the XRD (X-ray Diffraction) spectra of 6% and 10 % RHA treated soil. The Goethite possessing an inner needle-like structure with a closed packed striated structure makes the composite a promising material for constructing landfill liners. This is because the closed packed striated structure of the goethite present in the composite will slow down the vertical seepage of leachate to allow its collection and removal by the leachate collection system. The composite will form a barrier between groundwater, soil, and substrata, and waste. From the SEM (Scanning Electron Microscopy), the uniformly distributed grain boundaries and smaller grain size of the composite (lateritic soil and RHA) will serve as a barrier to the movement of contaminants and other leachates to the groundwater and thus, making the composite a viable material for landfill liner system.",Green Construction; Rice Husk Ash; Landfill Liner; Waste Containment; Microstructure; Morphological Arrangement,DOAJ
2ef631d326294993b7da00d68b4ca4ee,Appraisal of students' perceptions on green building concepts in a technical university,Divine Tuinese Novieto; Frank Kulor; Michael Wellington Apprey; Elom Ayeke,2023,Frontiers in Engineering and Built Environment,GB,10.1108/FEBE-08-2022-0034,https://www.emerald.com/insight/content/doi/10.1108/FEBE-08-2022-0034/full/pdf,"Purpose – The main goal of this study was to determine how students at Ho Technical University (HTU) viewed green construction approaches and the benefits green buildings may provide to Ghana's tertiary institutions to enhance quality of life. Design/methodology/approach – The institution's 350 participants were chosen using a random selection method. A standardised questionnaire was used to gather data, which was analysed using SPSS v.20 and presented in tables using descriptive statistics such as Likert scale analysis, weighted mean and relative importance index (RII). Findings – The study revealed that awareness of the green building principle is comparatively low amongst the survey participants. Participants agree that the University's green building adoption is high. Students cited decreased utility expenses, improved occupant productivity and cheaper operational costs as important benefits of green construction. Students' thoughts on hurdles to implementing green construction ideas at the University were the enormous price tag of green building technology (RII = 0.89), ignorance of demonstration projects and ignorance of information on green building principles (RII = 0.81). Originality/value – This is one of the first papers to study Ghanaian students' views on green buildings. This study adds to our understanding of students' thoughts on green building ideas. In addition, it sheds insight into their present awareness, which can help the university administration in Ghana design new paths for green building implementation.",Green building; Ho Technical University; Students; Adoption; Benefits and barriers,DOAJ
