ajol_id,author
262697,Andrew Sunday Jr.
262698,Kalu OO
262698,Herbert AB
262698,Amanze MF
262698,Igbokwe MI
262698,Kanu CA
262699,Peterside Sotonye Bethel
262700,Ogugua Darlington Ekene
262700,Iwuagwu Johnbosco
237707,Chinedu Uwaegbulam
237707,Ejiro Iwuoha
237707,Iferi Eni
237707,Janet Thomas
237715,Chinyere Odum-Igwe
237715,Joy Ben
237715,Chinenye Nwachukwu
237721,Cynthia Esimoleze
237721,Kanu IM
237721,Winner Egejuru
237726,Faith Mba
237726,Henry Ahaneku
237726,Alexander Ojunta
237768,Christiana Amos
237768,Promise Nwosu
237768,Chiemerie Ukpabi
237768,Excel Nwosu
237771,Ezinne Mba
237771,Nneoma Nwosu
237771,Vincent Aharauka
237775,Nnaemeka Egwu
249886,Okesanya Olalekan John
249886,Olaleke Noah Olabode
249886,Bijaya Kumar Padhi
249886,Abioye Sunday Micheal
249886,Vijay Kumar Chattu
249886,Emmanuel Promise Adunoluwa
249886,Babalola Favour Olanrewaju
249886,Ugwu Stephen Ebuka
249886,Bartholomew O. Okolo
249886,Titilope Esther Oluokun
249886,Ahmed Nurain Kehinde
249886,Obiageri Jacinta Okereke
249886,Olayemi Mercy Olamide
249886,Ukaenyi Chinenye Christiana
205205,Iwuoha EC
205205,Harbor PC
205205,Chukwudi-Oje CK
205205,Okoli AC
205206,Anya O
205206,Iroaganachi CG
205208,Uzor IE
205208,Onwuchekwa UN
205208,Nkpozi MO
205209,Ahaiwe CC
205209,Elendu RE
205209,Nwoke CN
205210,Ngwogu KK
205210,Enwereuzor OC
205210,Kalu NE
205210,Chikwendu JN
205211,Ekwuribe DC
205211,Umeh OA
205211,Orji MO
205211,Ijioma CE
205212,Ekeleme NC
205212,Chiemeka NJ
205212,Ikonne UG
205212,Dike CV
205213,Okite PC
205213,Uwaga BC
205213,Nze AC
205213,Ijioma CE
205214,Dike OP
205214,Awa KK
205214,Orgi EC
205215,Ekeleme NC
205215,Iroegbu JA
205215,Chima-Nkwuaku PC
205215,Otosi LA
187850,J.A. Chikezie
187850,Ogbonna Collins Nwabuko
187851,K.K. Odinaka
187851,I.F. Ogbonna
187852,N.C. Ekeleme
187852,C.N. Onwasigwe
187852,P.E.N. Onyemachi
187853,A.U. Offiah
187853,K.O. Ngwogu
187853,N Eleweke
187854,I.G. Onukaogu
187854,R.N. Anya
187854,V.I. Ukanwa
187857,C.A. Ngwogu
187857,I.G. Uzoma
187857,M Lemah
187859,N.O. Uzor
187859,E.O. Mgbeke
187859,A Okechukwu
187861,K.O. Ngwogu
187861,O Ekperi
187861,S.A.U. Offiah
187862,N.C. Ekeleme
187862,G.N. Nnamdi
187862,J.O. Eke
187862,A.O. Ogu
187865,J.C. Johnson
187865,I.E. Nwoke
187865,B.C. Obioma
173997,John A. Chikezie
173997,Adanna A. Chikezie
173998,N.C. Ekeleme
173998,K.I. Egwuonwu
173998,E.C. Iwuoha
173998,A.S. Ogunsola
174001,Nnabuko Obioma
174001,Nzeribe Emeka
174001,Kanu Roselinda
174003,Ezindu Chidimma
174003,Alozie Tochukwu
174003,Owo-Eleke Emmanuel
174005,C.C. Anulaobi
174005,U.J. Udeagha
174005,C.J. Onwuchekwa
174007,I.F. Ogbonna
174007,K.K. Odinaka
174007,A.I. Bisi-Onyaemachi
174007,U.N. Chikani
125078,CA Onwubiko
125078,SC Ivy
125078,O Kalu
125080,C Okoroafor
125080,OM Chinatu-Nwankwo
125080,UC Egwuekwe
125081,OM Chinatu-Nwankwo
125084,SAU Offiah
125084,FE Igwe
125084,N Eleweke
125084,SN Onwere
125084,B Chigbu
125085,AC Adisa
125086,CO Emerole
125087,FC Ezegbe
111852,CL Uche
111853,EC Nduka
111853,I Nduka
111853,EC Nzotta
111854,NB Onyire
111854,OU Anyanwu
111854,MI Orji
111854,CT Ezeonu
111855,N Eleweke
111855,NU Iweha
111855,LN Okoronkwo
111856,O Chinonso
111856,D Chikeze
111860,O Chinasa
111862,A Chapp-Jumbo
111864,AC Ngwogu
111865,SAU Offiah
97406,B Chigbu
97406,S Onwere
97406,C Aluka
97406,C Kamanu
97406,O Okoro
97407,EC Nzotta
97407,ML Nnoke
97407,M Kanu
97407,I Nduka
97407,S Onwere
97408,U Iroha
97408,AP Osueke
97408,CU Ezeribe
97408,I Nduka
97408,JCR Eluwah
97408,S Onwere
97409,A Ukweni
97409,UF Ezebuiro
97409,NK Emuchay
97409,CC Ibeh
97409,JCR Eluwa
97409,S Onwere
97411,JM Okoroafor
97411,KO Monday
97411,IA Okoroafor
97411,SE Asogwa
97411,S Onwere
97412,S Onwere
97412,B Chigbu
97412,C Aharauka
97412,A Onwere
97413,FU Uduma
97413,AM Tadze
97415,OK Eke
44223,IS Ogbonnaya
44223,A Agu
44224,LN Chigbu
44226,SAU Offiah
44226,EN Etebu
44228,O Obichi
44228,O Chibuzo
44229,AI Ibe
44229,AN Amadi
44229,C Amadi
44231,BEB Nwoke
44231,EA Nwoke
44233,AI Ibe
44233,AN Amadi
44233,C Amadi
44234,A Aluka
44236,CA Maduagwuna
44237,E Adibe
44237,C Aluka
44237,B Chigbu
44237,S Onwere
44237,C Kamanu
44237,P Feyi-Waboso
44239,IS Ogbonnaya
44239,A Agu
44240,O Okoro
44240,S Onwere
44240,B Chigbu
42554,PO Eteike
42555,PI Igboeli
42555,MA Emerson
42556,PO Eteike
42556,UC Ndegbu
42556,KJ Aguh
42557,O Ejike
42557,CA Chukwuka
42557,CA Chukwuka
42558,IN Nweke
42558,S Chinenye
42558,AC Ojule
42559,B Chigbu
42559,CI Kamanu
42559,C Aluka
42559,EC Adibe
42560,CI Kamanu
42560,FC Akpuaka
42561,MA Nnoli
42562,C Maduako
42563,BEB Nwoke
42564,EO Ezirim
42565,S Onwere
42565,O Okoro
42565,A Onwere
42566,EC Adibe
42566,MN Obasi
42566,C Aluka
42567,WIB Onuigbo
42568,UC Anyanwagu
42539,AN Amadi
42539,O Ejike
42540,CC Ibeh
42540,U Onyeonoro
42540,NJ Onyemkpa
42541,S Onwere
42541,O Okoro
42541,N Nwoko
42541,B Okoro
42542,R Eze
42542,CV Enzewa-Ahanene
42542,LK Okereke
42542,IK Adimchinobi
42543,AN Amadi
42543,A Olili-Uhrorho
42543,A Ezedinachi
42543,A Ezidiegwu
42544,CC Ibeh
42544,CI Agu
42545,ENU Ezedinachi
42546,AU Mbanaso
42546,AC Adisa
42547,NB Onyire
42548,IN Nweke
42549,U Chapp-Jumbo Assumpta
42550,OO Kalu
42551,OU Igwe
42552,NN Osuagwu
42553,M Chukwuma
42553,O Chimaobi
42514,WIB Onuigbo
42515,C Aluka
42516,DO Chima
42517,UC Kalu
42518,U V Ikechukwu
42519,OO Unya
42520,O Chizirum
42521,A Bright
42521,O Chibuike
42521,E Ogechi
42522,JN Nwafor
42522,OC Nwaorgu
42522,CC Onugha
42523,SC Okpechi
42524,EU Chika
42525,MN Ezenwoko
42526,B Nwogu
42526,K Amarachi
42527,U Chidinma
42528,A Uchenna-Chidi
42529,NE Iro
45808,AU Mbanaso
45808,AC Adisa
42530,AC Nlemadin
42530,OO Moemenam
42530,UC Agulanna
42531,N Benson-Onyire
42531,OS Kanu
42532,P Bani
42534,VI Udora
42535,CC Ezeala
42535,CI Emuchay
42536,AN Amadi
42538,S Onwere
42538,O Okoro
42538,AN Amadi
42538,U Ukoha
42538,E Ukanwoke
42538,J Ekwensi
264674,Sunday Oluyele
264674,Ibrahim Adeyanju
264674,Adedayo Sobowale
262597,Mabel Keke
262597,Samson Onoriode Okpo
262597,Oghenekome Cyril Anakpoha
262598,Tinuola Hannah Udoh
262598,Oyinkepreye David Orodu
262599,Godwin Egbudu Ede
262599,Zamani Ishaya-Waidung
262599,Peter Mu’ar Kamtu
262599,Nicholas Sylvester Gukop
262603,Adedamola Abdulmatin Adeniji
262603,Kufre Esenowo Jack
262603,Muhammed Kamil Idris
262603,Stephen Seyi Oyewobi
262603,Abdulhafeez Oluwatobi Oyelami
262604,Lawal Muhammed Nasir
262604,Victor Ogbeide-Igiebor
262604,Idris Ibrahim Ozigis
262606,Omobusuyimi Matthew Kolawole
262606,Olusola Olayemi Omole
262606,Olusola Adedayo Adesina
262683,Lawal Muhammed Nasir
262683,Oluwatoyin Lanre Seriki
262683,Emmanuel Onche
262685,Emeka Reginald Nwogu
262685,Wilson Chukwuemeka Ahiara
262685,Peter Mathew Aondohemba
262686,Mathew Oluwole Arowolo
262686,Emmanuel Akinyemi Oyetade
262686,Oluwaseun Samuel Agboola
262686,Oluwatosin Steven George
262687,Olatayo Moses Olaniyan
262687,Olusogo Julius Adetunji
262687,Adedire Marquis Fasanya
262688,Olusogo Julius Adetunji
262688,Ibrahim Adepoju Adeyanju
262688,Adebimpe Omolayo Esan
262688,Adedayo Aladejobi Sobowale
262689,Matthew Oluwole Arowolo
262689,Adekunle Okikioluwa Owolabi
262689,Henry Onaopemipo Bankole-Ajayi
262689,Oluwaseyi Paul Akinyele
262691,Ubong Ukommi
262691,Emmanuel Ubom
262694,Sunday Oladejo Adetona
262694,Faith Akindayomi Akintoye
262707,Bolaji Abigail Omodunbi
262707,Afeez Adekunle Soladoye
262707,Opeyemi Asaolu
262707,Emmanuel Yusuf
262708,Bilkisu Jimada-Ojuolape
262708,Oluwafunto Spencer
262708,Monsurat Omolara Balogun
262709,Ifeanyi Macsylva Ikechelu
262709,Uwemedimo Nyong Wilson
262709,Isa Sani Mohammed
262709,Samson Olalekan Odeyemi
262709,Okereke Chika Eze
262711,Haruna Garba
262711,Zuwairat Abubakar
262717,Abubakar Kandi Mohammed
262717,Idris Ibrahim Ozigis
262717,Nasir Muhammad Lawal
262873,Francis Olusesi Borokinni
262873,Bukola Olalekan Bolaji
262873,Bayode Julius Olorunfemi
262873,Kazeem Aderemi Bello
262873,Olarewaju Thomas Oginni
262875,Olarewaju Thomas Oginni
262876,Ezenwanyi Fidelia Ochulor
262876,Samson Oluropo Adeosun
262876,Ademola Joseph Kareem
262876,Ajibola Ikeoluwa Ashade
250381,Lehlohonolo Thulo
250381,Fidelis Emuze
250381,Elizabeth Theron
250383,Geraldine Kikwasi
250383,Nyamagere Gladys Sospeter
250388,Oluseyi Adebowale
250388,Justus Agumba
250391,Adewumi Badiora
250391,Abdullateef Bako
250395,Emmanuel Bamfo-Agyei
250395,Didibhuku Wellington Thwala
250395,Clinton Aigbavboa
250402,Edwin K’oyoo
250405,Gerhard Bosman
250405,Anita Venter
250405,Phadi Mabe
244927,Oluseye Olugboyega
244927,Adekunle Bolujoko
244927,Godwin Oseghale
244927,Clinton Aigbavboa
244928,Polycarp Alumbugu
244928,Winston Shakantu
244928,Abel Tsado
244928,Wasiu Ola-awo
244929,Ayodeji Ajayi
244930,Mariam Akinlolu
244931,Akintayo Opawole
244931,Betty Olojede
244931,Fumbi Oshin
244931,Anthony Yusuf
244932,Emmanuel Kabundu
244932,Sijekula Mbanga
244932,Paul Makasa
244933,Christo Vosloo
244934,Zakiyyah Vawda
244934,Jan Hugo
244935,Kevin Wall
231025,Emmanuel Bamfo-Agyei
231025,Didibhuku Wellington Thwala
231025,Clinton Aigbavboa
231026,Anthony Yusuf
231026,Akintayo Opawole
231026,Esther Ebunoluwa
231029,Oluwaseun Afuye
231029,Omotayo Aina
231029,Olubimbola Oladimeji
231029,Tanko Mohammed
231030,Mohammad Kheradranjbar
231030,Mirali Mohammadi
231030,Shahin Rafiee
231031,Sambo Zulu
231031,Ephraim Zulu
231031,Mwansa Chabala
223097,Ignatius Morgen Chombo
223097,Sang Hoon Youm
223098,Stephen Nyakala
223098,Dolly Ramoroka
223098,Kemlall Ramdass
223099,Ndaleni Rantsatsi
223099,Innocent Musonda
223099,Justus Agumba
223101,Oluwaseun Dosumu
223101,Clinton Aigbavboa
223102,Progress Chigangacha
223102,Theodore Haupt
223102,Bankole Awuzie
223105,Karen Botes
223105,Christina Breed
223106,Christo Vosloo
223040,Wasiu Ola-awo
223040,Aisha Alayande
223040,Ganiyu Olarewaju
223040,Luqman Oyewobi
223091,Yahaya Isah
223091,Winston Shakantu
223091,Saidu Ibrahim
223092,Ibrahim Jibrin
223092,Winston Shakantu
223093,Jeffrey Mahachi
223094,Athenkosi Sogaxa
223094,Eric Simpeh
223094,Ruben Ndihokubwayo
223096,Idowu Albert
223096,Winston Shakantu
223096,Saidu Ibrahim
208212,Danie Hoffman
208212,Ling-Yi Huang
208212,Jean van Rensburg
208212,Amy Yorke-Hart
208213,Polycarp Alumbugu
208213,Winston Shakantu
208213,Abel Tsado
208218,Peres Ofori
208214,Jonathan Oladeji
208214,Joseph Yacim
208214,Kevin Wall
208214,Benita Zulch
208215,Ndaleni Rantsatsi
208215,Innocent Musonda
208215,Justus Agumba
208216,Brian Boshoff
208216,Cornelia Mey
208217,Pierre Oosthuizen
208205,Yahaya Isah
208205,Winston Shakantu
208205,Saidu Ibrahim
208206,Nontokozo Mnisi
208206,Aly Karam
208207,Oluwasinaayomi Faith Kasim
208207,Adekunle Moruf Alabi
208207,Sunday Wusu
208208,Graham Young
208208,Piet Vosloo
208209,Fhumulani Tshidavhu
208209,Nthatisi Khatleli
208210,Christo Vosloo
208211,Ar.Sayed Ahmed
208200,Tirivavi Moyo
208200,Gerrit Crafford
208200,Fidelis Emuze
208201,Theo Haupt
208201,Weziwe Hadebe
208201,Mariam Akinlolu
208202,Innocent Musonda
208202,Trynos Gumbo
208202,Chioma Okoro
208203,Oluseye Olugboyega
208203,Abimbola Windapo
208204,Olubimbola Oladimeji
208179,Kgashane Stephen Nyakala
208179,Jan-Harm Pretorius
208179,Andre Vermeulen
208181,Hletela Mishiyi
208181,Roy Cumberlege
208181,Fanie Buys
208182,Afolabi Olubunmi Abosede
208182,Akintayo Opawole
208182,Babalola Olubola
208182,Grace Kehinde Ojo
208182,Kahilu Kajimo-Shakantu
208184,Tariené Gaum
208184,Jacques Laubscher
208186,Hendri du Plessis
208187,Theo Haupt
208188,Oluwaseyi Alao
208188,Godwin Jagboro
208188,Akintayo Opawole
208188,Dele Kadiri
208190,Kathy Michell
208190,Raymond Nkado
208190,Kenneth Bowazi
180638,Mutonyi Nasila
180638,Chris Cloete
180639,Kofi Agyekum
180639,Barbara Simons
180639,Seth Yeboah Botchway
180640,Olanrewaju Balogun
180640,Justus Agumba
180640,Nazeem Ansary
180641,Tashmika Ramdav
180641,Nishani Harinarain
180642,Frank Ikechukwu Aneke
180642,Bankole Awuzie
180643,Mandy Malindi
180643,John Smallwood
180644,Pierre Oosthuizen
176847,Bérenger Renault
176847,Justus Agumba
176847,Nazeem Ansary
176848,Oluwaseun Dosumu
176848,Clinton Aigbavboa
176849,Ric Amansure
176849,Chris Adendorff
176850,Michelle Burger
176850,Benita Zulch
176851,Funmilayo Adedire
176851,Michael Adegbile
176852,Hendri du Plessis
176852,Pierre Oosthuizen
176853,Nico Janse van Rensburg
163736,Chipozya Kosta Tembo-Silungwe
163736,Nthatisi Khatleli
163740,Kobus van der Walt
163740,Douw Boshoff
163741,Ibrahim Saidu
163741,Winston Shakantu
163742,Bankole Awuzie
163742,Rasheed Isa
163744,Davison Murwira
163744,Michiel Bekker
163746,Tariene Wilcocks
163746,Jacques Laubscher
159821,Gerhard Bosman
159823,Guinevere Gilbert
159823,Keith Cattell
159823,Peter Edwards
159823,Paul Bowen
159824,Ibrahim Saidu
159824,Winston Shakantu
159826,Jaco van der Merwe
159826,Bouwer Kleynhans
159826,Chris Cloete
159828,Douw Boshoff
159828,Chris Krugell
159828,Hennie van Heerden
151799,Molefi Nketekete
151799,Fidelis Emuze
151799,John Smallwood
151800,Christiaan Winckler
151800,Douw Boshoff
151801,Elzane Van Eck
151801,Michelle Burger
151802,Theo Haupt
151802,Nishani Harinarain
151804,Tinus Maritz
151804,Hendrik Frederik Prinsloo
143098,Benita Zulch
143100,Taryn Bond- Barnard
143100,Lizelle Fletcher
143100,Herman Steyn
143106,Lesetja Godley Mabona
143106,Winston Shakantu
143111,Ibrahim Saidu
143111,Winston Shakantu
129801,Juan Olwagen
129801,Roy Cumberlege
129801,Ian Moss
129803,Girles-kate Maletswa
129803,Douw Boshoff
129805,Emile Adjibadé Sanya
129805,Houénou Kowanou
129805,Dèfodji Adolphe Tchéhouali
129806,Fanie Buys
129806,Tanya van Schalkwyk
129807,Esti Jacobs
125381,Craig C Goldswain
125381,John J Smallwood
125382,Colin Gewanlal
125382,M Bekker
125383,Michelle Burger
125383,Basie Verster
125383,Benita Zulch
125385,Henry Deacon
125385,Elma van der Lingen
116175,F Buys
116175,R van Rooyen
116176,H Cruywagen
116184,F Emuze
116184,J Smallwood
116184,J van Wyk
116188,J Gibberd
109761,A Ogwueleka
109761,T Maritz
109758,R Claasen
109758,R Cumberlege
109759,J Hugo
109759,A Barker
109759,H Stoffberg
109760,R Ndihokubwayo
109760,G Crafford
109760,F Buys
109757,G Bosman
109757,D van der Westhuizen
103583,P Bowen
103583,K Cattell
103583,P Edwards
103584,D Boshoff
103585,P Bowen
103585,P Edwards
103585,H Lingard
103585,K Cattell
103586,F Buys
103586,M Le Roux
94079,D Boshoff
94079,L de Kock
94080,N Harinarain
94080,CL Bornman
94080,M Botha
94081,F Emuze
94081,M James
94082,J Agumba
94082,JH Pretorius
94082,T Haupt
94083,F Emuze
94083,H Mashili
94083,B Botha
94084,F Berry
94084,B Verster
94085,F Emuze
94085,R Adlam
87636,F Emuze
87636,J Smallwood
87636,J Smallwood
87637,J Hugo
87637,H Stoffberg
87637,A Barker
87638,M Mooya
87638,C Cloete
87639,F Buys
87639,D Ludwaba
87641,H Garbharran
87641,J Govender
87641,T Msani
85415,F Emuze
85416,N Zunguzane
85416,J Smallwood
85416,F Emuze
85417,AO Aiyetan
85417,JJ Smallwood
85417,W Shakantu
85418,F Berry
85418,B Verster
85419,I Musonda
85419,J-H Pretorius
85419,CT Haupt
85420,S Seeletse
85420,W Ladzani
85421,C Adendorff
85421,B Botha
85421,C van Zyl
85421,G Adendorff
77176,H Fouche
77176,J Smallwood
77176,F Emuze
77178,A Aiyetan
77178,J Smallwood
77178,W Shakantu
77179,C Adendorff
77179,G Appels
77179,B Botha
