ajol_id,keyword
262698,Ownership
262698,Usage
262698,Insecticide-treated nets
262698,Osisioma
262699,Malaria
262699,phenotype
262699,comparison
262699,haematological parameters
262700,preeclampsia
262700,MCH
262700,mortality
262700,prevalence
237707,PREVELENCE
237707,FIBROID
237707,ABSUTH
237707,ABIA STATE
237715,ORS
237715,KNOWLEDGE
237715,ATTITUDE
237715,PRACTICE
237715,FACTORS
237721,Tuberculosis
237721,HIV
237721,Treatment
237721,Co-infection
237721,ABSUTH
237726,Nosocomial
237726,infection
237726,knowledge
237726,attitude
237726,practice
237768,Impact
237768,ICT
237768,Academic performance
237768,Medical students
237771,Prevalence
237771,Determinants
237771,Hypertension
237771,Secondary School Teacher
249886,COVID-19 drug safety
249886,Remdesivir
249886,corticosteroids
249886,Africa
249886,SARS-CoV
249886,pandemic
249886,healthcare
205205,Dysmenorrhea
205205,medications
205205,tertiary institutions
205206,Knowledge
205206,Attitude
205206,Practice
205206,Exclusive Breastfeeding
205206,Aba South L.G.A
205206,Abia State
205208,Cardiovascular risk factors
205208,Assessment
205208,Physicians
205208,Tertiary Institution
205208,Aba
205209,Knowledge
205209,Attitude
205209,Practice
205209,Pubertal
205209,Personal Hygiene
205209,Aba
205210,knowledge
205210,attitude
205210,prevalence
205210,hypertension
205210,Aba
205211,Family planning
205211,Awareness
205211,Women of reproductive age
205212,Prevalence
205212,Patterns
205212,Determinants
205212,Self-medication
205212,Abia Poly
205213,Trend in Paediatric Emergencies
205213,five-year study in Abia State University Teaching Hospital
205213,Aba
205214,Knowledge
205214,Attitude
205214,Practice
205214,Family planning
205214,Abia State University Teaching Hospital
205214,Aba
205214,Abia State
205215,Awareness
205215,attitude
205215,practice
205215,Ekeoha market
205215,Nigerian currency
187850,Sickle Cell Disease
187850,Sickle Cell Nephropathy
187850,Pathophysiology
187850,Clinical presentations
187850,Investigations
187850,Treatment/Management
187851,Pulmonary tuberculosis
187851,male
187851,child
187851,sickle cell anaemia
187852,HIV
187852,mobile phone reminders
187852,missed appointments
187852,antiretroviral treatment
187853,Malignancy
187853,Occult
187853,Periumbilical
187853,Sen nel
187853,Intraabdominal
187854,Depression
187854,Prevalence
187854,Knowledge of depression
187854,Medical students
187857,Trado-medical
187857,Prevalence
187857,Attitude
187859,Knowledge
187859,practice
187859,Exclusive breastfeeding
187859,development
187861,Prostate Cancer
187861,Histopathological Patterns
187861,Prevalence
187861,Nigeria
187862,Knowledge
187862,Attitude
187862,Practice
187862,Personal Hygiene
187862,Aba
173997,Analgesic Nephropathy
173997,Manifestations
173997,Non-Steroidal Anti-inflammatory Drugs Nephropathy
173997,Treatment options
173998,Hand washing
173998,secondary school
173998,knowledge
173998,practices
173998,assessment
174001,obstetric complication
174001,Orthodox
174001,Antenatal care (ANC)
174003,hand hygiene
174003,healthcare professionals
174003,hospitals
174003,Abia
174005,male
174005,incontinence
174005,urinary
174005,assessment
174005,Obingwa
174007,Lamellar ichthyosis
174007,Collodion baby
174007,Male
174007,Nigeria
125078,HIV
125078,Risky behaviour
125078,Secondary School
125078,Nigeria
125081,Internet
125081,Addiction
